"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s (các) sản phẩm"
"%s and above","%s và ở trên"
"%s-%s of %s","%s-%s của %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"* Required Fields","* Những trường bắt buộc"
"-- Please Select --","-- Hãy lựa chọn --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 mặc định, nếu không cài đặt. Để tải lại ngay, xóa bộ nhớ đệm các thẻ đầu ra các khối HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cảnh báo!</strong> Áp dụng MAP mặc định sẽ làm ẩn giá tất cả sản phẩm trên trang."
"A group with the same name already exists.","Đã tồn tại một nhóm cùng tên."
"A name is required","Tên là trường bắt buộc"
"A product type is not defined for the indexer.","Một loại sản phẩm không được xác định cho bộ chỉ mục."
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"AM","Hủy bỏ nhiệm vụ"
"Action","Thao tác"
"Actual Price","Giá thực tế"
"Add","Thêm vào"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add Group Price","Thêm giá cho nhóm"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute Set","Thêm tập thuộc tính mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Option","Thêm tính năng mới"
"Add New Row","Thêm hàng mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Set","Thêm tập mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm vào websites"
"Add Root Category","Thêm loại mặt hàng gốc"
"Add Subcategory","Thêm loại mặt hàng con"
"Add Tax","Thêm thuế"
"Add Tier","Thêm tầng"
"Add attribute into attribute set","Thêm thuộc tính vào tập thuộc tính"
"Add group into attribute set","Thêm nhóm vào tập thuộc tính"
"Add new custom option into product","Thêm tính năng tùy chỉnh vào sản phẩm"
"Add new values into custom option","Thêm các giá trị mới vào tính năng tùy chỉnh"
"Add option","Thêm tính năng"
"Add to Cart","Chọn mua"
"Add to Compare","Thêm để so sánh"
"Add to Wishlist","Thêm vào danh sách thích"
"Additional Information","Thông tin bổ sung"
"Alert Urls","Thông báo đường dẫn"
"All","Tất cả"
"All Product Types","Tất cả các loại sản phẩm"
"All Websites","Tất cả các trang"
"All products","Tất cả sản phẩm"
"All products - recently added products, New products - products marked as new","Tất cả sản phẩm - sản phẩm thêm vào gần đây, Sản phẩm mới - sản phẩm được đánh dấu là mới"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tất cả sản phẩm của tập này sẽ bị xóa! Bạn có chắc chắn muốn xóa tập thuộc tính này không?"
"Allow All Products per Page","Hiển thị tất cả sản phẩm trên một trang"
"Allow Dynamic Media URLs in Products and Categories","Hiển thị đường dẫn động đa phương tiện trong sản phẩm và hạng mục"
"Allow HTML Tags on Frontend","Hiển thị các thẻ HTML ở trang"
"Allowed File Extensions","Hiển thị thư mục tiện ích"
"Allowed file extensions to upload","Hiển thị thư mục tiện ích để tải lên"
"An error occurred while adding products to websites.","Đã có lỗi xảy ra khi thêm sản phẩm vào website."
"An error occurred while clearing comparison list.","Đã có lỗi xảy ra khi xóa danh sách so sánh."
"An error occurred while deleting this review.","Đã có lỗi xảy ra khi xóa đánh giá."
"An error occurred while removing products from websites.","Đã có lỗi xảy ra khi xóa sản phẩm khỏi website."
"An error occurred while saving the URL rewrite","Đã có lỗi xảy ra khi lưu đường dẫn đã chỉnh sửa"
"An error occurred while saving the attribute set.","Đã có lỗi xảy ra khi lưu nhóm thuộc tính."
"An error occurred while saving the collection, aborting. Error message: %s","Đã có lỗi xảy ra khi lưu bộ sưu tập, hủy bỏ. Thông điệp lỗi: %s"
"An error occurred while saving the product. ","Đã có lỗi xảy ra khi lưu sản phẩm. "
"An error occurred while saving the search query.","Đã có lỗi xảy ra khi lưu truy vấn tìm kiếm."
"An error occurred while saving this group.","Đã có lỗi xảy ra khi lưu nhóm này."
"An error occurred while saving this review.","Đã có lỗi xảy ra khi lưu xem lại này."
"An error occurred while trying to delete the category.","Đã có lỗi xảy ra khi xóa loại mặt hàng."
"An error occurred while updating the product(s) attributes.","Đã có lỗi xảy ra khi cập nhật thuộc tính (các) sản phẩm."
"An error occurred while updating the product(s) status.","Đã có lỗi xảy ra khi cập nhật tình trạng (các) sản phẩm."
"An invalid group ID is specified, skipping the record.","Nhóm ID không đúng, bỏ qua bản ghi."
"An invalid option ID is specified for %s (%s), skipping the record.","Lựa chọn ID không đúng cho %s (%s), bỏ qua bản ghi."
"An invalid store was specified.","Cửa hàng không đúng."
"Anchor Custom Text","Neo hiển thị trong văn bản tùy chỉnh"
"Anchor Custom Title","Neo hiển thị trong tiêu đề tùy chỉnh"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Chỉ áp dụng được cho loại mặt hàng và sản phẩm trong danh mục hàng. Nội dung đa phương tiện sẽ được chèn vào biên tập dưới dạng đường dẫn URL tĩnh. Điều này không được cập nhật khi có sự thay đổi thông số hệ thống URL."
"Apply MAP (Default Value)","Áp dụng MAP (Giá trị mặc định)"
"Apply To","Áp dụng đối với"
"Approved","Chấp thuận"
"Are you sure you want to delete this category?","Bạn có chắc là muốn xóa loại mặt hàng này?"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc là muốn xóa tất cả sản phẩm khỏi so sánh?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc là muốn xóa sản phẩm này khỏi so sánh các sản phẩm?"
"Are you sure?","Bạn có chắc không?"
"As low as:","Thấp như là:"
"Assign","Gán"
"Assign product link","Gán đường dẫn sản phẩm"
"Assign product to category","Gán sản phẩm cho loại mặt hàng"
"Assigned Products","Đã gán sản phẩm"
"Associated Products","Đã liên kết sản phẩm"
"Attrib. Set Name","Tên thuộc tính"
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" không đúng."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" là bắt buộc."
"Attribute Information","Thông tin thuộc tính"
"Attribute Model","Kiểu thuộc tính"
"Attribute Name:","Tên thuộc tính:"
"Attribute Set","Tập thuộc tính"
"Attribute Sets","Các tập thuộc tính"
"Attribute add","Thêm thuộc tính"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Mã thuộc tính không đúng. Hãy chỉ dùng chữ (a-z), số (0-9) hoặc dấu gạch dưới(_) trong trường này, Ký tự đầu tiên phải là chữ."
"Attribute group with the \"/name/\" name already exists","Tập thuộc tính có tên \"/tên/\" đã tồn tại"
"Attribute remove","Xóa thuộc tính"
"Attribute with the same code already exists","Thuộc tính có cùng mã đã tồn tại"
"Attributes","Các thuộc tính"
"Attrribute names can be specified per store.","Thuộc tính có thể được đặt riêng cho từng cửa hàng."
"Autogenerate","Tự động khởi động"
"Availability:","Tính sẵn có:"
"Back","Phía sau"
"Backend Model","Kiểu trang backend"
"Backend Table","Bảng trang backend"
"Backend Table Title","Tên bảng trang backend"
"Backorders","Đơn đặt hàng"
"Base Image Width","Chiều rộng ảnh nền"
"Based On","Dựa trên"
"Before Order Confirmation","Trước khi xác nhận đặt hàng"
"Best Value","Giá trị tốt nhất"
"Block after Info Column","Hiển thị nội dung thông tin sản phẩm"
"Bottom Block Options Wrapper","Nội dung hiển thị dưới nút Chọn mua"
"Bottom/Left","Phía dưới/Bên trái"
"Bottom/Right","Phía dưới/Bên phải"
"Browse By","Xem theo"
"Bundle Items","Sản phẩm đi kèm"
"Buy %1$s","Mua %1$s"
"Buy %1$s for","Mua %1$s cho"
"Buy %1$s for %2$s","Mua %1$s cho %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s cho mỗi %2$s (%3$s bao gồm thuế)"
"Buy %1$s for %2$s each","Mua %1$s cho mỗi %2$s"
"Cache Lifetime (Seconds)","Thời gian bộ đệm (Giây)"
"Cache refresh needed.","Cần tải lại bộ đệm."
"Can be Divided into Multiple Boxes for Shipping","Có thể chia thành nhiều ô cho Vận chuyển"
"Can be used only with catalog input type Dropdown","Chỉ được dùng cho nhập vào danh mục hàng dạng Thả"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Chỉ được dùng cho nhập vào danh mục hàng dạng Thả, Nhiều Lựa chọn và Giá"
"Can\'t create image.","Không thể tạo hình ảnh."
"Cancel","Hủy bỏ"
"Cannot create image.","Không thể tạo hình ảnh."
"Cannot create writeable directory '%s'.","Không thể tạo thư mục được cấp quyền '%s'."
"Cart Item Attribute","Thuộc tính giỏ hàng"
"Catalog","Danh mục hàng"
"Catalog Category (Anchor)","Cấu trúc danh mục (Neo hiển thị)"
"Catalog Category (Non-Anchor)","Cấu trúc danh mục (Không neo hiển thị)"
"Catalog Category (Without Subcategories)","Cấu trúc danh mục(Không chứa loại mặt hàng con)"
"Catalog Category Link","Đường dẫn cấu trúc danh mục"
"Catalog New Products List","Danh sách sản phẩm mới trong danh mục hàng"
"Catalog Price Scope","Phạm vi giá trong danh mục hàng"
"Catalog Product Compare List","Danh sách sản phẩm so sánh trong danh mục"
"Catalog Product Email to a Friend","Danh mục sản phẩm email tới bạn bè"
"Catalog Product Image Gallery Popup","Thư viện hình ảnh sản phẩm Popup trong danh mục"
"Catalog Product Link","Đường dẫn sản phẩm trong danh mục hàng"
"Catalog Product View (Any)","Sản phẩm hiển thị trong danh mục (Bất kỳ)"
"Catalog Product View (Configurable)","Sản phẩm hiển thị trong danh mục (Tùy chỉnh)"
"Catalog Product View (Grouped)","Sản phẩm hiển thị trong danh mục (Đã nhóm)"
"Catalog Product View (Simple)","Sản phẩm hiển thị trong danh mục (Đơn giản)"
"Catalog Product View (Virtual)","Sản phẩm hiển thị trong danh mục (Ảo)"
"Catalog Section","Chuyên mucj danh mục hàng"
"Catalog Seo Sitemap (Category List)","Sơ đồ trang SEO danh mục hàng(Danh sách loại mặt hàng)"
"Catalog Seo Sitemap (Category Tree)","Sơ đồ trang SEO danh mục hàng (Cây các loại mặt hàng)"
"Catalog Seo Sitemap (Common)","Sơ đồ trang SEO danh mục hàng (Thông thường)"
"Catalog Seo Sitemap (Product List)","Sơ đồ trang SEO danh mục hàng (Danh sách sản phẩm)"
"Catalog URL Rewrites","Đường dẫn URL ghi đè của danh mục"
"Catalog product custom option values API","API giá trị lựa chọn sản phẩm tùy chỉnh trong danh mục"
"Catalog product custom options API","API lựa chọn sản phẩm tùy chỉnh trong danh mục"
"Catalog, Search","Danh mục hàng, Tìm kiếm"
"Categories","Loại mặt hàng"
"Categories Sitemap","Sơ đồ loại mặt hàng"
"Category","Loại mặt hàng"
"Category API","API loại mặt hàng"
"Category Data","Dữ liệu loại mặt hàng"
"Category Flat Data","Dữ liệu phẳng loại mặt hàng"
"Category Link Block Template","Mẫu liên kết khối loại mặt hàng"
"Category Link Inline Template","Mẫu liên kết loại mặt hàng nội tuyến"
"Category Products","Sản phẩm của loại mặt hàng"
"Category Top Navigation","Cấu trúc loại mặt hàng menu phía trên"
"Category URL Suffix","Hậu tố đường dẫn URL loại mặt hàng"
"Category attributes API","API các thuộc tính của loại mặt hàng"
"Category move error","Lỗi di chuyển loại mặt hàng"
"Category move error %s","Lỗi di chuyển loại mặt hàng %s"
"Category move operation is not possible: parent category is equal to child category.","Hoạt động di chuyển loại mặt hàng không khả dụng: loại mặt hàng chính ngang bằng loại mặt hàng phụ."
"Category move operation is not possible: the current category was not found.","Hoạt động di chuyển loại mặt hàng không khả dụng: không tìm thấy loại mặt hàng hiện tại."
"Category move operation is not possible: the new parent category was not found.","Hoạt động di chuyển loại mặt hàng không khả dụng: không tìm thấy loại mặt hàng chính mới."
"Category must be an instance of Mage_Catalog_Model_Category.","Loại mặt hàng phải là đối tượng của Mage_Catalog_Model_Category."
"Center","Trung tâm"
"Change","Thay đổi"
"Change or Retrieve attribute store view","Thay đổi hoặc lấy thuộc tính cửa hàng"
"Change status","Thay đổi trạng thái"
"Check items to add to the cart or","Chọn sản phẩm vào giỏ hàng hoặc"
"Choose an Option...","Chọn một lựa chọn..."
"Clear All","Xóa tất cả"
"Clear Price","Xóa giá"
"Click for price","Nhấn để xem giá"
"Close Window","Đóng cửa sổ"
"Collapse All","Thu gọn tất cả"
"Comma-separated.","Phân cách bởi dấu phẩy."
"Comparable","Có thể so sánh"
"Comparable on Front-end","Có thể so sánh ở trang Front-end"
"Comparable on the Frontend","Có thể so sánh ở trang Frontend"
"Compare","So sánh"
"Compare Products","Các sản phẩm so sánh"
"Conditions Combination","Tập hợp các điều kiện"
"Configurable Product","Sản phẩm cấu hình"
"Configurable Product Settings","Cài đặt sản phẩm cấu hình"
"Configure Product","Sản phẩm cấu hình"
"Continue","Tiếp tục"
"Copy From Configurable","Sao chép từ cấu hình"
"Country/State","Quốc gia/Liên bang"
"Create","Tạo mới"
"Create (Upload)","Tạo mới (Tải lên)"
"Create Empty","Tạo mới trống"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo chuyển hướng URL cố định nếu URL Key thay đổi"
"Create Permanent Redirect for old URL","Tạo chuyển hướng cố định cho đường dẫn URL cũ"
"Create Product Settings","Tạo cài đặt tài khoản"
"Create Simple Associated Product","Tạo sản phẩm liên kết đơn giản"
"Create attribute set based on another set","Tạo nhóm thuộc tính dựa vào một nhóm khác"
"Create new attribute","Tạo thuộc tính mới"
"Create new category","Tạo loại mặt hàng mới"
"Create new product","Tạo sản phẩm mới"
"Cross-sells","Bán chéo"
"Currently Shopping by:","Hiện đang mua sắm bởi:"
"Custom Design","Thiết kế tùy chỉnh"
"Custom Options","Các lựa chọn tùy chỉnh"
"Custom options","Các lựa chọn tùy chỉnh"
"Customer Group","Nhóm khách hàng"
"Customers Reviews","Các đánh giá của khách hàng"
"Customers Tagged Product","Sản phẩm được đánh dấu khách hàng"
"Data Type for Saving in Database","Loại dữ liệu cho lưu trữ trong cơ sở dữ liệu"
"Date & Time Custom Options","Ngày & Giờ Các lựa chọn tùy chỉnh"
"Date Fields Order","Ngày đặt hàng"
"Date Subscribed","Ngày theo dõi"
"Datetime","Ngày giờ"
"Decimal","Thập phân"
"Declare attribute value saving scope","Khai báo phạm vi lưu giá trị thuộc tính"
"Default ""What's This"" Text Message","Thông điệp mặc định "Đây là gì?""
"Default Popup Text Message","Thông điệp Popup mặc định"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Bước điều hướng giá mặc định"
"Default Qty","Số lượng mặc định"
"Default Values","Giá trị mặc định"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Xác định phạm vi ngoại tệ cơ sở (""Thiết lập ngoại tệ"" > ""Các tùy chọn ngoại tệ"" > ""Ngoại tệ cơ sở"")."
"Delete","Xóa"
"Delete Attribute","Xóa thuộc tính"
"Delete Attribute Set","Xóa nhóm thuộc tính"
"Delete Category","Xóa loại mặt hàng"
"Delete Group Price","Xóa nhóm giá"
"Delete Option","Xóa lựa chọn"
"Delete Row","Xóa hàng"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xóa nhóm đã chọn"
"Delete Tier","Xóa tầng"
"Delete attribute","Xóa thuộc tính"
"Delete category","Xóa loại mặt hàng"
"Delete product","Xóa sản phẩm"
"Depends on design theme","Dựa vào chủ đề thiết kế"
"Description","Mô tả"
"Design","Thiết kế"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Disallowed file type.","Không cho phép loại tệp."
"Display Actual Price","Hiển thị giá thực tế"
"Display Page Control","Hiển thị kiểm soát trang"
"Display Price Interval as One Price","Hiển thị chuỗi giá bằng một giá"
"Display Product Count","Hiển thị đếm sản phẩm"
"Display Type","Hiển thị loại"
"Display in Suggested Terms","Hiển thị trong mục đề xuất"
"Double click on a group to rename it","Nhấn đúp chuột vào một nhóm để đổi tên"
"Double click on above image to view full picture","Nhấn đúp chuột phía trên hình ảnh để hiển thị đầy đủ hình ảnh"
"Downloadable Information","Thông tin có thể tải"
"Duplicate","Sao chép"
"Duplicate website group price customer group.","Sao chép nhóm giá website nhóm khách hàng."
"Duplicate website tier price customer group and quantity.","Sao chép tầng giá website nhóm khách hàng và số lượng."
"Duplicate website, country and state tax found.","Sao chép website, quốc gia và thuế quốc gia tìm thấy."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ví dụ {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Chuyển hướng động ảnh hưởng đến hiệu quả danh mục."
"Edit","Sửa"
"Edit Attribute Set '%s'","Sửa tập thuộc tính '%s'"
"Edit Product Attribute","Sửa thuộc tính sản phẩm"
"Edit Product Attribute ""%s""","Sửa thuộc tính sản phẩm ""%s"""
"Edit Search","Sửa tìm kiếm"
"Edit Search '%s'","Sửa tìm kiếm '%s'"
"Edit Set Name","Sửa tên nhóm"
"Email","Email"
"Email to a Friend","Gửi email tới bạn bè"
"Empty","Trống"
"Enable MAP","Bật MAP"
"Enable Qty Increments","Bật tăng số lượng"
"Enable WYSIWYG","Bật WYSIWYG"
"Enable for reindexing a big number of SKUs.","Cho phép chỉ mục lại số lượng lớn các SKU."
"Enabled","Đã bật"
"Error during retrieval of option value: %s","Lỗi xảy ra khi khôi phục giá trị tùy chọn: %s"
"Exclude","Không bao gồm"
"Expand All","Mở rộng tất cả"
"Failed","Thất bại"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Thất bại khi sao chép tệp %s. Vui lòng xóa đa phương tiện có hình ảnh không tồn tại và thử lại."
"Failed to move file: %s","Thất bại khi di chuyển tệp: %s"
"Feature Products","Đặc tính sản phẩm"
"Field is not complete","Trường chưa được hoàn thiện"
"File options format is not valid.","Định dạng lựa chọn tệp không đúng."
"File upload failed","Tải lên thất bại"
"Filter","Bộ lọc"
"Filter model name must be declared.","Tên kiểu lọc phải được khai báo."
"Filter must be an object. Please set correct filter.","Bộ lọc phải là đối tượng. Vui lòng lựa chọn đúng bộ lọc."
"Filterable (no results)","Có thể lọc (không có kết quả)"
"Filterable (with results)","Có thể lọc (với kết quả)"
"First Name","Tên"
"Fixed","Cố định"
"For internal use.","Dùng cho bên trong."
"For the last time placed.","Cho nơi ghé thăm lần cuối."
"Frontend","Người dùng"
"Frontend Model","Mô hình người dùng"
"Frontend Properties","Đặc tính người dùng"
"Gallery","Thư viện"
"General Information","Thông tin chung"
"Get full information about attribute with list of options","Lấy tất cả thông tin về thuộc tính với danh sách tùy chọn"
"Get full information about custom option in product","Lấy tất cả thông tin về tùy chọn sản phẩm"
"Get list of available custom option types","Lấy danh sách các kiểu tùy chọn có sẵn "
"Get list of non-default attributes by product type and attributes set","Lấy danh sách các thuộc tính không mặc định bởi loại sản phẩm và tập thuộc tính"
"Get list of possible attribute types","Lấy danh sách các loại thuộc tính khả dụng"
"Get special price","Lấy giá đặc biệt"
"Global","Toàn website"
"Globally Editable","Có thể chỉnh sửa toàn trang"
"Go to Home Page","Đi đến trang chủ"
"Grid","Dạng lưới"
"Group add","Thêm nhóm"
"Group remove","Xóa nhóm"
"Grouped Product","Sản phẩm được nhóm"
"Groups","Các nhóm"
"Home","Trang chủ"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Nếu trống, tên loại mặt hàng sẽ được dùng"
"If empty, the Product Name will be used","Nếu trống, tên sản phẩm sẽ được dùng"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu bạn không xác định một giá trị tùy chọn cho cửa hàng cụ thể thì giá trị mặc định (Admin) sẽ được dùng."
"Image","Hình ảnh"
"Image content is not valid base64 data.","Nội dung hình ảnh không đúng dữ liệu base64."
"Image does not exist.","Hình ảnh không tồn tại."
"Image file was not found.","Không tìm thấy tệp hình ảnh."
"Image type and information need to be specified for each store view.","Loại và thông tin hình ảnh cần được cụ thể cho mỗi cửa hàng."
"In Cart","Trong giỏ hàng"
"In Stock","Còn hàng"
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Index product and categories URL rewrites","Chỉ mục URL ghi đè của sản phẩm và loại mặt hàng"
"Index product attributes for layered navigation building","Chỉ mục thuộc tính sản phẩm cho xây dựng điều hướng theo lớp"
"Index product prices","Chỉ mục giá sản phẩm"
"Indexed category/products association","Liên kết loại mặt hàng hay sản phẩm đã được chỉ mục"
"Info","Thông tin"
"Info Column Options Wrapper","Thông tin cột bao trùm tùy chọn"
"Input Type","Kiểu nhập"
"Integer","Số nguyên"
"Interval Division Limit","Giới hạn khoảng giá"
"Invalid Tier Prices","Các tầng giá không đúng"
"Invalid attribute %s","Thuộc tính không đúng %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn thuộc tính không đúng cho thuộc tính %s (%s), bỏ qua bản ghi."
"Invalid attribute set specified, skipping the record.","Tập thuộc tính không đúng, bỏ qua bản ghi."
"Invalid block: %s.","Nội dung không đúng: %s."
"Invalid category IDs.","Các ID loại mặt hàng không đúng."
"Invalid category.","Loại mặt hàng không đúng."
"Invalid image file type.","Loại tệp hình ảnh không đúng."
"Invalid image type.","Loại hình ảnh không đúng."
"Invalid option ID specified for %s (%s), skipping the record.","Tùy chọn ID không đúng cho %s (%s), bỏ qua bản ghi."
"Invalid product type specified, skipping the record.","Loại sản phẩm không đúng, bỏ qua bản ghi."
"Invalid store specified","Cửa hàng không đúng"
"Invalid store specified, skipping the record.","Cửa hàng con không đúng, bỏ qua bản ghi."
"Invalid tier prices. The product is not associated to the requested website.","Các tầng giá không đúng. Sản phẩm không được liên kết với website yêu cầu."
"Inventory","Hàng tồn kho"
"Is Default","Được mặc định"
"Is Required","Bắt buộc"
"Items %s to %s of %s total","Các sản phẩm %s tới %s của tổng số %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Sản phẩm bạn không muốn hiển thị ở danh mục hoặc kết quả tìm kiếm phải có trạng thái vô hiệu hóa trong cửa hàng mong muốn."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Sản phẩm bạn không muốn hiển thị ở danh mục hoặc kết quả tìm kiếm phải có trạng thái vô hiệu hóa trong cửa hàng mong muốn."
"Keep your eyes open for our special Back to School items and save A LOT!","Hãy để mắt tới các sản phẩm Tựu trường của chúng tôi và tiết kiệm thật nhiều!"
"Label","Nhãn"
"Last Name","Họ"
"Last Notification","Thông báo gần nhất"
"Layered Navigation","Điều hướng theo lớp"
"Learn More","Tìm hiểu thêm"
"Line %d, Email: %s","Dòng %d, Email: %s"
"Line %d, SKU: %s","Dòng %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Liên kết (Liên quan, Bán gia tăng, Bán chéo)"
"Link product does not exist.","Liên kết sản phẩm không tồn tại."
"Link to a Specified Category","Liên kết tới loại mặt hàng cụ thể"
"Link to a Specified Product","Liên kết tới sản phẩm cụ thể"
"List","Danh sách"
"List Mode","Chế độ danh sách"
"List of Products that are set as New","Danh sách các sản phẩm được đặt là Mới"
"List of types","Danh sách các loại"
"Manage Attribute Sets","Quản lý các tập thuộc tính"
"Manage Attributes","Quản lý các thuộc tính"
"Manage Catalog Categories","Quản lý cấu trúc danh mục"
"Manage Categories","Quản lý các loại mặt hàng"
"Manage Label / Options","Quản lý nhãn / Tùy chọn"
"Manage Options (values of your attribute)","Quản lý các tùy chọn (giá trị của thuộc tính)"
"Manage Product Attributes","Quản lý thuộc tính sản phẩm"
"Manage Product Sets","Quản lý các tập sản phẩm"
"Manage Products","Quản lý sản phẩm"
"Manage Stock","Quản lý hàng hóa"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (Kích thước, Màu sắc, ...)"
"Max Characters","Ký tự tối đa"
"Maximal Depth","Độ sâu tối đa"
"Maximum Image Size","Kích thước hình ảnh tối đa"
"Maximum Number of Price Intervals","Số lượng tối đa của các khoảng giá"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa cho phép trong giỏ hàng"
"Maximum allowed image size for '%s' is %sx%s px.","Kích thước tối đa cho hình ảnh '%s' là %sx%s px."
"Maximum image height","Chiều dài hình ảnh tối đa"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum number of characters:","Số ký tự tối đa:"
"Maximum number of price intervals is 100","Số lượng tối đa trong khoảng giá là 100"
"Maximum width base product image will be scaled down to in pixels","Chiều rộng tối đa của hình ảnh sẽ được kéo xuống theo pixels"
"Maximum width small product image will be scaled down to in pixels","Chiều rộng tối đa hình ảnh nhỏ của sản phẩm sẽ được kéo xuống theo pixels"
"Media Image","Hình ảnh đa phương tiện"
"Middle Name","Tên đệm"
"Minimum Advertised Price","Giá quảng cáo tối thiểu"
"Minimum Lines per Page","Số dòng tối thiểu trong một trang"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty for Item\'s Status to be Out of Stock","Số lượng tối thiểu cho sản phẩm\'s tình trạng hết hàng"
"Missing SKU, skipping the record.","Thiếu SKU, bỏ qua bản ghi."
"More Views","Xem thêm"
"Move","Di chuyển"
"Move category in tree","Di chuyển loại mặt hàng dạng cây"
"Must be in the allowed values list.","Phải thuộc danh sách giá trị cho phép."
"My Account","Tài khoản của tôi"
"N/A","N/A"
"Name","Tên"
