"Middle Name/Initial","Tên đệm"
"Prefix","Tiền tố"
"Suffix","Hậu tố"
"Tax/VAT Number","Mã số thuế/VAT"
"Associate to Website","Liên kết đến website"
"Disable Automatic Group Change Based on VAT ID","Vô hiệu hóa thay đổi nhóm tự động dựa trên VAT ID"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' dường như là một tên máy chủ DNS nhưng không thể xuất một phần TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với danh sách TLD đã biết"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' dường như là một tên máy chủ DNS nhưng không thể phù hợp với sơ đồ tên miền cho TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' dường như là một tên máy chủ DNS nhưng có chứa một dấu gạch ngang ở vị trí không đúng"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' dường như là một tên máy chủ DNS nhưng các ký hiệu punycode không thể giải mã"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' dường như là một tên mạng cục bộ nhưng tên mạng này không được phép"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' dường như là một địa chỉ IP nhưng địa chỉ này không đúng"
"'%value%' does not appear to be a valid local network name","'%value%' không phải là tên mạng cục bộ đúng"
"* Required Fields","* Trường bắt buộc"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Account Dashboard","Bảng điều khiển tài khoản"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Các tùy chọn chia sẻ tài khoản"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Đã xác nhận thông tin tài khoản. Vui lòng kiểm tra email để biết liên kết xác nhận. Để gửi lại email xác nhận vui lòng <a href=""%s"">nhấn vào đây</a>."
"Action","Thao tác"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng mới"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Added From","Được thêm vào từ"
"Additional Address Entries","Các địa chỉ phụ"
"Address","Địa chỉ"
"Address Book","Danh bạ địa chỉ"
"Address Books","Danh bạ địa chỉ"
"Address Information","Thông tin địa chỉ"
"Address Templates","Mẫu địa chỉ"
"Addresses","Các địa chỉ"
"Admin","Quản trị"
"All","Tất cả"
"All Store Views","Xem tất cả các cửa hàng"
"All countries","Tất cả quốc gia"
"Always optional.","Luôn luôn tùy chọn."
"Amount","Số lượng"
"An error occurred while deleting the address.","Có lỗi xảy ra khi xóa địa chỉ."
"An error occurred while retrieving the option value: %s.","Có lỗi xảy ra khi lấy giá trị tùy chọn: %s."
"An error occurred while saving the collection, aborting. Error: %s","Có lỗi xảy ra khi lưu bộ sưu tập, hủy bỏ. Lỗi: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Một ID tùy chọn không đúng được xác định cho %s (%s), bỏ qua bản ghi."
"Approved","Chấp thuận"
"Are you sure that you want to remove this item?","Bạn có chắc chắn muốn xóa sản phầm này?"
"Are you sure you want to cancel adding of this address?","Bạn có chắc chắn muốn hủy việc thêm địa chỉ này?"
"Are you sure you want to delete this address?","Bạn có chắc chắn muốn xóa địa chỉ này?"
"Are you sure?","Bạn có chắc không?"
"Array of Entity collections is expected.","Mảng tập hợp các thực thể được dự kiến."
"Assign a Customer Group","Chỉ định một nhóm khách hàng"
"Average Sale","Doanh số trung bình"
"Back","Quay lại"
"Back - link to the previously viewed page","Quay lại - liên kết đến trang đã xem trước đó"
"Back to Login","Quay lại trang đăng nhập"
"Bad request.","Yêu cầu bị lỗi."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Dựa trên ID VAT, khách hàng sẽ thuộc nhóm khách hàng %s."
"Bill to Name","Hóa đơn theo tên"
"Bought From","Được mua từ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Với việc tạo tài khoản với chúng tôi, bạn sẽ được thanh toán nhanh hơn, lưu trữ nhiều địa chỉ vận chuyển, xem và kiểm tra đơn hàng và nhiều hơn thế nữa."
"CSV","CSV"
"Cancel","Hủy"
"Cannot save a new password.","Không thể lưu mật khẩu mới."
"Cannot save address.","Không thể lưu địa chỉ."
"Cannot save the customer.","Không thể lưu khách hàng."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Không thể chia sẻ tài khoản của khách hàng trên toàn bộ trang vì một số tài khoản có cùng địa chỉ email cùng tồn tại trên nhiều trang web khác nhau và không thể hợp nhất."
"Change Account Password","Thay đổi mật khẩu tài khoản"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Change Password","Thay đổi mật khẩu"
"Change Shipping Address","Thay đổi địa chỉ vận chuyển"
"City","Quận/Huyện"
"Company","Công ty"
"Config","Cấu hình"
"Configure","Cấu hình"
"Confirm New Password","Xác nhận mật khẩu mới"
"Confirm Password","Xác nhận mật khẩu"
"Confirmation Link Email","Email chứa liên kết xác nhận"
"Confirmed","Đã xác nhận"
"Contact Information","Thông tin liên hệ"
"Continue Shopping","Tiếp tục mua hàng"
"Country","Quốc gia"
"Create","Tạo mới"
"Create New Account Options","Tạo tùy chọn tài khoản mới"
"Create New Customer Account","Tạo tài khoản mới"
"Create Order","Tạo đơn hàng"
"Create an Account","Tạo tài khoản"
"Create customer","Tạo khách hàng"
"Create customer address","Tạo địa chỉ khách hàng"
"Current Admin Password","Mật khẩu quản trị hiện tại"
"Current Password","Mật khẩu hiện tại"
"Customer","Khách hàng"
"Customer API","API khách hàng"
"Customer Account Edit Form","Form chỉnh sửa tài khoản khách hàng"
"Customer Account Login Form","Form đăng nhập tài khoản"
"Customer Account Logout Success","Đăng xuất thành công"
"Customer Account Registration Form","Form đăng kí tài khoản"
"Customer Addresses","Địa chỉ khách hàng"
"Customer Configuration","Cấu hình khách hàng"
"Customer Forgot Password Form","Form quên mật khẩu"
"Customer Group","Nhóm khách hàng"
"Customer Groups","Nhóm khách hàng"
"Customer Information","Thông tin khách hàng"
"Customer Login","Khách hàng đăng nhập"
"Customer My Account (All Pages)","Tài khoản khách hàng (Tất cả các trang)"
"Customer My Account Address Book","Danh bạ địa chỉ của khách hàng"
"Customer My Account Address Edit Form","Form chỉnh sửa Danh bạ địa chỉ của khách hàng"
"Customer My Account Dashboard","Bảng điều khiển tài khoản khách hàng"
"Customer Since","Khách hàng từ năm"
"Customer View","Xem khách hàng"
"Customer collection expected.","Tập hợp khách hàng dự kiến."
"Customer email is required","email khách hàng là bắt buộc"
"Customer website ID must be specified when using the website scope","ID trang web của khách hàng phải được xác định khi sử dụng trong phạm vi trang web"
"Customer will stay on the current page if ""No"" is selected.","Khách hàng sẽ ở lại trang nếu "Không" được lựa chọn."
"Customers","Khách hàng"
"Customers Only","Chỉ khách hàng"
"Customers Section","Mục khách hàng"
"DD","DD"
"Date","Ngày"
"Date Added","Ngày thêm vào"
"Date Of Birth","Ngày sinh"
"Day","Ngày"
"Days in Wishlist","Ngày trong danh sách thích"
"Default Addresses","Địa chỉ mặc định"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Email Domain","Miền email mặc định"
"Default Group","Nhóm mặc định"
"Default Shipping Address","Địa chỉ thanh toán mặc định"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Giá trị mặc định cho Nhóm vô hiệu hóa tự động dựa trên ID VAT"
"Default Welcome Email","Email chào mừng mặc định"
"Delete","Xóa"
"Delete Address","Địa chỉ mặc định"
"Delete Customer","Xóa khách hàng"
"Delete Customer Group","Xóa nhóm khách hàng"
"Delete customer","Xóa khách hàng"
"Delete customer address","Xóa địa chỉ khách hàng"
"Deleted Stores","Cửa hàng đã xóa"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Edit","Chỉnh sửa"
"Edit Account Info","Sửa thông tin tài khoản"
"Edit Account Information","Sửa thông tin tài khoản"
"Edit Address","Sửa địa chỉ"
"Edit Address Entry","Sửa địa chỉ nhập vào"
"Edit Customer Group ""%s""","Xóa nhóm khách hàng ""%s"""
"Edit Customer Groups","Sửa nhóm khách hàng"
"Edit Customer's Address","Sửa địa chỉ khách hàng"
"Edit Group","Sửa nhóm"
"Edit Newsletters","Sửa bản tin"
"Edit address","Địa chỉ email"
"Email","Email"
"Email Address","Địa chỉ email"
"Email Sender","Người gửi email"
"Email:","Email:"
"Enable Automatic Assignment to Customer Group","Kích hoạt tính năng tự động chỉ định cho Nhóm khách hàng"
"Entity collection is expected.","Tập hợp các thực thể được dự kiến."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Không thể xác nhận tài khoản khách hàng."
"Fax","Fax"
"First Name","Tên"
"Forgot Email Template","Mẫu email quên"
"Forgot Password","Quên mật khẩu"
"Forgot Your Password","Quên mật khẩu"
"Forgot Your Password?","Quên mật khẩu?"
"Forgot and Remind Email Sender","Người gửi email quên và nhắc nhở"
"Form Fields Before","Form cho các trường trước đó"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Từ bảng điều khiển, bạn có thể xem nhanh nhật ký hoạt động và cập nhật thông tin tài khoản. Hãy chọn liên kết bên dưới để xem hoặc chỉnh sửa thông tin."
"Gender","Giới tính"
"Gender is required.","Giới tính là bắt buộc."
"General Subscription","Đăng ký theo dõi chung"
"Generate Human-Friendly Customer ID","Kích hoạt ID khách hàng thân thiện"
"Global","Toàn bộ"
"Group","Nhóm"
"Group Information","Thông tin nhóm"
"Group Name","Tên nhóm"
"Group for Invalid VAT ID","Nhóm có ID VAT không đúng"
"Group for Valid VAT ID - Domestic","Nhóm có ID VAT không đúng - Cục bộ"
"Group for Valid VAT ID - Intra-Union","Nhóm có ID VAT không đúng - Liên kết nội bộ"
"Guest","Khách"
"HTML","HTML"
"Hello, %s!","Xin chào, %s!"
"ID","ID"
"IP Address","Địa chỉ IP"
"If you believe this is an error, please contact us at %s","Nếu bạn cho rằng đây là lỗi, vui lòng liên hệ với chúng tôi tại %s"
"If you have an account with us, please log in.","Nếu bạn có tài khoản với chúng tôi, vui lòng đăng nhập."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Tùy chọn không đúng cho thuộc tính %s (%s), bỏ qua bản ghi."
"Invalid attribute set specified, skipping the record.","Tập thuộc tính không đúng, bỏ qua bản ghi."
"Invalid billing address for (%s)","Địa chỉ thanh toán không đúng cho (%s)"
"Invalid current password","Mật khẩu hiện tại không đúng"
"Invalid customer data","Dữ liệu khách hàng không đúng"
"Invalid email address ""%s"".","Địa chỉ email không đúng ""%s""."
"Invalid email address.","Địa chỉ email không đúng."
"Invalid login or password.","Đăng nhập hoặc mật khẩu không đúng."
"Invalid password reset token.","Token đặt lại mật khẩu không đúng."
"Invalid shipping address for (%s)","Địa chỉ vận chuyển không đúng cho (%s)"
"Invalid store specified, skipping the record.","Xác định trang không đúng, bỏ qua bản ghi."
"Invalid website, skipping the record, line: %s","Website không đúng, bỏ qua bản ghi, dòng: %s"
"Last Activity","Hoạt động gần đây nhất"
"Last Date Subscribed","Ngày đăng ký gần nhất"
"Last Date Unsubscribed","Ngày hủy đăng ký gần nhất"
"Last Name","Họ"
"Last URL","URL gần nhất"
"Leave empty for default (15 minutes).","Để trống cho mặc định (15 phút)."
"Leave empty for default (2). Valid range: 1-4","Để trống cho mặc định (2). Phạm vi đúng: 1-4"
"Lifetime Sales","Khoảng thời gian doanh số"
"Log In","Đăng nhập"
"Log Out","Đăng xuất"
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login Options","Tùy chọn đăng nhập"
"Login and password are required.","Đăng nhập và mật khẩu là bắt buộc."
"Login or Create an Account","Đăng nhập hoặc tạo tài khoản mới"
"MM","MM"
"Manage Addresses","Quản lý địa chỉ"
"Manage Customers","Quản lý khách hàng"
"Maximum length must be less then %s symbols","Độ dài tối đa phải ít hơn %s ký tự"
"Middle Name","Middle Name"
"Missing email, skipping the record, line: %s","Thiếu email, bỏ qua bản ghi, dòng: %s"
"Missing email, skipping the record.","Thiếu email, bỏ qua bản ghi ."
"Missing first name, skipping the record, line: %s","Thiếu tên, bỏ qua bản ghi, dòng: %s"
"Missing firstname, skipping the record.","Thiếu tên, bỏ qua bản ghi."
"Missing last name, skipping the record, line: %s","Thiếu họ, bỏ qua bản ghi, dòng: %s"
"Missing lastname, skipping the record.","Thiếu họ, bỏ qua bản ghi."
"Missing website, skipping the record, line: %s","Thiếu website, bỏ qua bản ghi, dòng: %s"
"Month","Tháng"
"My Account","Tài khoản"
"My Account Wrapper","Toàn trang tài khoản"
"My Dashboard","Bảng điều khiển"
"My Orders","Đơn hàng của tôi"
"Name","Tên"
"Name and Address Options","Tùy chọn tên và địa chỉ"
"Never","Không bao giờ"
"New Address","Địa chỉ mới"
"New Address Entry","Địa chỉ mới nhập vào"
"New Customer","Khách hàng mới"
"New Customer Address","Địa chỉ khách hàng mới"
"New Customer Group","Nhóm khách hàng mới"
"New Customer Groups","Nhóm khách hàng mới"
"New Customers","Khách hàng mới"
"New Group","Nhóm mới"
"New Password","Mật khẩu mới"
"New account","Tài khoản mới"
"New account confirmation key","Khóa xác nhận tài khoản mới"
"New account confirmed","Xác nhận tài khoản mới"
"New password field cannot be empty.","Mật khẩu mới không thể để trống."
"Newsletter","Bản tin"
"Newsletter Finish","Kết thúc bản tin"
"Newsletter Information","Thông tin bản tin"
"Newsletter Received","bản tin đã nhận"
"Newsletter Start","Bắt đầu bản tin"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletters","Bản tin"
"No Items Found","Không tìm thấy sản phẩm nào"
"No Newsletter Found","Không tìm thấy bản tin nào"
"No customer collections found","Không tìm thấy tập khách hàng nào"
"No item specified.","Không xác định được sản phẩm nào."
"Not Sent","Chưa được gửi đi"
"Not confirmed, can login","Chưa xác nhận, có thể đăng nhập"
"Not confirmed, cannot login","Chưa xác nhận, không thể đăng nhập"
"Number of Lines in a Street Address ","Số dòng trong địa chỉ đường "
"Offline","Offline"
"Online","Online"
"Online Customers","Khách hàng online"
"Online Customers Options","Tùy chọn khách hàng online"
"Online Minutes Interval","Thời gian online"
"Order #","Đơn hàng #"
"Order Total","Tổng đơn hàng"
"Orders","Đơn hàng"
"PDF","PDF"
"Password","Mật khẩu"
"Password Management","Quản lý mật khẩu"
"Password Options","Tùy chọn mật khẩu"
"Password forgotten","Quên mật khẩu"
"Password:","Mật khẩu:"
"Paused","Tạm dừng"
"Pending","Chờ xử lý"
"Per Website","Trên mỗi website"
"Personal Information","Thông tin cá nhân"
"Please enter a number 1 or greater in this field.","Vui lòng nhập vào một số lớn hơn hoặc bằng 1."
"Please enter a valid date between %s and %s at %s.","Vui lòng nhập vào một ngày đúng giữa %s và %s vào %s."
"Please enter a valid date equal to or greater than %s at %s.","Vui lòng nhập vào ngày lớn hơn hoặc bằng %s vào %s."
"Please enter a valid date less than or equal to %s at %s.","Vui lòng nhập vào ngày nhỏ hơn hoặc bằng %s vào %s."
"Please enter the city.","Vui lòng nhập Quận/Huyện."
"Please enter the country.","Vui lòng nhập quốc gia."
"Please enter the first name.","Vui lòng nhập tên."
"Please enter the last name.","Vui lòng nhập họ."
"Please enter the state/province.","Vui lòng nhập Tỉnh/Thành."
"Please enter the street.","Vui lòng nhập tên đường."
"Please enter the telephone number.","Vui lòng nhập số điện thoại."
"Please enter the zip/postal code.","Vui lòng nhập mã bưu chính/bưu điện."
"Please enter your email address below. You will receive a link to reset your password.","Vui lòng nhập địa chỉ email. Bạn sẽ nhận được một liên kết để đặt lại mật khẩu."
"Please enter your email below and we\'ll send you confirmation link for it.","Vui lòng nhập địa chỉ email của bạn và chúng tôi sẽ gửi liên kết xác nhận cho bạn."
"Please enter your email.","Vui lòng nhập email của bạn."
"Please make sure your passwords match.","Hãy đảm bảo rằng mật khẩu của bạn đúng."
"Please select a website which contains store view","Vui lòng lựa chọn trang web có chứa cửa hàng"
"Please select region, state or province","Vui lòng lựa chọn vùng hoặc tỉnh/thành"
"Please, check your email for confirmation key.","Vui lòng kiểm tra email để xem khóa xác nhận."
"Prefix Dropdown Options","Tùy chọn tiền tố dạng thả xuống"
"Price","Giá"
"Product","Sản phẩm"
"Product ID","ID sản phẩm"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Product Tags","Tags sản phảm"
"Purchase On","Mua trên"
"Purchased On","Mua trên"
"Qty","Số lượng"
"Recent Orders","Đơn hàng gần đây"
"Records for %s store found.","Bản ghi cho %s trang được tìm thấy."
"Recovery Link Expiration Period (days)","Thời gian hết hạn phục hồi liên kết (ngày)"
"Redirect Customer to Account Dashboard after Logging in","Chuyển khách hàng tới bảng điều khiển tài khoản sau khi đăng nhập"
"Refunded","Đã hoàn tiền"
"Register","Đăng ký"
"Registered Customers","Khách hàng đã đăng ký"
"Remind Email Template","Mẫu email nhắc nhở"
"Remind Password","Nhắc mật khẩu"
"Remove","Xóa"
"Remove address","Xóa địa chỉ"
"Require Emails Confirmation","Yêu cầu xác nhận email"
"Require admin user to change user password","Yêu cầu quản trị người dùng đổi mật khẩu"
"Reset a Password","Đặt lại mật khẩu"
"Retrieve address data","Lấy dữ liệu địa chỉ"
"Retrieve address info","Lấy thông tin địa chỉ"
"Retrieve customer addresses","Lấy địa chỉ khách hàng"
"Retrieve customer data","Lấy dữ liệu khách hàng"
"Retrieve customer groups","Lấy nhóm khách hàng"
"Retrieve customer info","Lấy thông tin khách hàng"
"Retrieve customers","Truy xuất khách hàng"
"Retrieve your confirmation link here","Lấy liên kết xác nhận của bạn ở đây"
"Retrieve your password here","Lấy mật khẩu của bạn ở đây"
"SKU","SKU"
"Sales Statistics","Thống kê doanh số"
"Save","Lưu"
"Save Address","Lưu địa chỉ"
"Save Customer","Lưu khách hàng"
"Save Customer Group","lưu nhóm khách hàng"
"Save Password","Lưu mật khẩu"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Saved %d record(s)","Đã lưu %d bản ghi"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Dấu chấm phẩy (;) đã tách giá trị.<br/>Đặt dấu chấm phẩy ở phần đầu cho tùy chọn trống đầu tiên.<br/>Bỏ trống để mở văn bản."
"Send Auto-Generated Password","Gửi mật khẩu được tạo ra tự động"
"Send From","Gửi từ"
"Send Welcome Email","Gửi email chào mừng"
"Send Welcome Email after Confirmation","Gửi email chào mừng sau khi xác nhận"
"Send confirmation link","Gửi liên kết xác nhận"
"Sending","Đang gửi"
"Sent","Đã gửi"
"Session Start Time","Thời gian bắt đầu phiên làm việc"
"Set as Default Billing Address","Thiết lập là địa chỉ thanh toán mặc định"
"Set as Default Shipping Address","Thiết lập là địa chỉ vận chuyển mặc định"
"Share Customer Accounts","Chia sẻ tài khoản khách hàng"
"Shipped to First Name","Đã chuyến đến Tên"
"Shipped to Last Name","Đã chuyển đến họ"
"Shipped to Name","Đã chuyến đến Tên"
"Shopping Cart","Giỏ hàng"
"Shopping Cart - %d item(s)","Giỏ hàng - %d sản phẩm"
"Shopping Cart of %1$s - %2$d item(s)","Giỏ hàng của %1$s - %2$d sản phẩm"
"Show Date of Birth","Hiển thị ngày sinh"
"Show Gender","Hiển thị giới tính"
"Show Middle Name (initial)","Hiển thị tên đệm (đầu tiên)"
"Show Prefix","Hiển thị tiền tố"
"Show Suffix","Hiển thị hậu tố"
"Show Tax/VAT Number","Hiển thị mã số thuế/VAT"
"Show VAT Number on Frontend","Hiển thị số VAT ở trang giao diện người dùng"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Skipping import row, required field ""%s"" is not defined.","Bỏ qua việc thêm dòng, trường bắt buộc ""%s"" không thể xác định được."
"Skipping import row, website ""%s"" field does not exist.","Bỏ qua việc thêm dòng, website ""%s"" không tồn tại."
"State/Province","Tỉnh/Thành"
"Status","Trạng thái"
"Store","Cửa hàng"
"Store View","Cửa hàng"
"Street Address","Địa chỉ Đường"
"Street Address %s","Địa chỉ đường %s"
"Subject","Tiêu đề"
"Submit","Gửi"
"Subscribe to Newsletter","Đăng ký nhận bản tin"
"Subscribed to Newsletter?","Đã đăng ký nhận bản tin?"
"Suffix Dropdown Options","Tùy chọn hậu tố dạng thả xuống"
"Tag Name","Tên Tag"
"Tax Calculation Based On","Tính toán thuế dựa trên"
"Tax Class","Loại thuế"
"Tax/VAT number","Mã số thuế/VAT"
"Telephone","Số điện thoại"
"Text","Văn bản"
"Text One Line","Văn bản một dòng"
"Thank you for registering with %s.","Cảm ơn bạn đã đăng ký với %s."
"The Date of Birth is required.","Ngày sinh là bắt buộc."
"The TAX/VAT number is required.","Mã số THUẾ/VAT là bắt buộc."
"The VAT ID entered (%s) is not a valid VAT ID.","ID VAT vừa nhập vào (%s) không đúng."
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","ID VAT vừa nhập vào (%s) không đúng. Khách hàng thuộc nhóm khách hàng %s."
"The VAT ID is valid. The current Customer Group will be used.","ID VAT đúng. Nhóm khách hàng hiện tại sẽ được sử dụng."
"The account information has been saved.","Thông tin tài khoản đã được lưu lại."
"The address does not belong to this customer.","Địa chỉ không phải của khách hàng này."
"The address has been deleted.","Địa chỉ đã bị xóa."
"The address has been saved.","Địa chỉ đã được lưu lại."
"The customer ID and email did not match, skipping the record, line: %s","ID và email khách hàng không đúng, bỏ qua bản ghi, dòng: %s"
"The customer does not have default billing address.","Khách hàng không có địa chỉ thanh toán mặc định."
"The customer email (%s) already exists, skipping the record, line: %s","Email khách hàng (%s) đã tồn tại, bỏ qua bản ghi, dòng: %s"
"The customer group has been deleted.","Nhóm khách hàng đã bị xóa."
"The customer group has been saved.","Nhóm khách hàng đã được lưu lại."
"The customer is currently assigned to Customer Group %s.","Khách hàng hiện đang được phân cho nhóm khách hàng %s."
"The first name cannot be empty.","Tên không được để trống."
"The group ""%s"" cannot be deleted","Nhóm ""%s"" không thể xóa"
"The last name cannot be empty.","Họ không thể để trống."
"The minimum password length is %s","Độ dài tối thiểu của mật khẩu là %s"
"The password cannot be empty.","Mật khẩu không thể để trống."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Mật khẩu phải có ít nhất 6 ký tự. Khoảng trống ở đấu hoặc cuối sẽ bị loại bỏ."
"The suffix that goes after name (Jr., Sr., etc.)","Hậu tố đi sau tên (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Các danh xưng trước tên (Ông, bà,...)"
"There are no items in customer's wishlist at the moment","Hiện không có sản phẩm nào trong danh sách thích của khách hàng"
"There are no items in customer\'s shopping cart at the moment","Hiện không có sản phẩm nào trong giỏ hàng của khách hàng"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Đã có tài khoản được đăng ký với email này. Nếu bạn chắc chắn rằng đó là email của bạn, <a href=""%s"">nhấn vào đây</a> để lấy lại mật khẩu và truy cập tài khoản."
"There was an error validating the VAT ID.","Có lỗi xảy ra khi xác nhận ID VAT."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Có lỗi xảy ra khi xác nhận ID VAT. Khách hàng thuộc nhóm khách hàng %s."
"This account is not confirmed.","Tài khoản này chưa được xác nhận."
"This customer email already exists","Email khách hàng đã tồn tại"
"This customer has no saved addresses.","Khách hàng này không có địa chỉ nào được lưu lại."
"This email does not require confirmation.","Email này không có yêu cầu xác nhận."
"This email will be sent instead of default welcome email, after account confirmation.","Email này sẽ được gửi thay vì email chào mừng sau khi xác nhận tài khoản."
"This is My Default %s Address","Đây là địa chỉ %s mặc định của tôi"
"To Cart","vào giỏ hàng"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Để hiển thị mã số VAT trên trang giao diện người dùng, đặt Có cho Hiển thị mã số VAT trên tùy chọn Giao diện người dùng."
"Total","Tổng số"
"Type","Loại"
"Unknown","Chưa rõ"
"Unsubscribe from Newsletter","Hủy đăng ký nhận bản tin"
"Update","Cập nhật"
"Update customer address data","Cập nhật dữ liệu địa chỉ khách hàng"
"Update customer data","Cập nhật dữ liệu khách hàng"
"Use as My Default %s Address","Sử dụng như là Địa chỉ %s mặc định của tôi"
"Use as My Default Billing Address","Sử dụng như là địa chỉ thanh toán mặc định của tôi"
"Use as My Default Shipping Address","Sử dụng như là địa chỉ vận chuyển mặc định của tôi"
"Use as my default billing address","Sử dụng như là địa chỉ thanh toán mặc định của tôi"
"Use as my default shipping address","Sử dụng như là địa chỉ vận chuyển mặc định của tôi"
"VAT Number","Mã số VAT"
"VAT Request Date","Ngày yêu cầu VAT"
"VAT Request Identifier","Yêu cầu nhận dạng VAT"
"Validate VAT Number","Xác nhận mã số VAT"
"Validate on Each Transaction","Xác nhận trên mỗi giao dịch"
"Validation Error Group","Xác nhận nhóm lỗi"
"View","Xem"
"View Order","Xem đơn hàng"
"Visitor","Khách"
"Visitors Only","Chỉ khách truy cập"
"Website","Website"
"Welcome Email","Email chào mừng"
"Wishlist","Danh sách thích"
"Wishlist - %d item(s)","Danh sách thích - %d sản phẩm"
"Would you like to change the Customer Group for this order?","Bạn có muốn thay đổi nhóm khách hàng cho đơn hàng này?"
"Wrong confirmation key.","Khóa xác nhận sai."
"Wrong customer account specified.","Tài khoản khách hàng sai."
"Wrong email.","Email sai."
"Wrong transactional account email type","Loại tài khoản email giao dịch sai"
"YYYY","YYYY"
"Year","Năm"
"You are currently not subscribed to any newsletter.","Bạn hiện đang không đăng ký theo dõi bản tin nào của chúng tôi."
"You are currently not subscribed to our newsletter.","Bạn hiện chưa đăng ký theo dõi bản tin của chúng tôi."
"You are currently subscribed to 'General Subscription'.","Bạn hiện đang đăng ký nhận "Theo dõi bản tin chung"."
"You are currently subscribed to our newsletter.","Bạn đã đăng ký nhận bản tin."
"You are now logged out","Bạn đã đăng xuất"
"You have logged out and will be redirected to our homepage in 5 seconds.","Bạn đã đăng xuất và sẽ được chuyển đến trang chủ trong 5 giây nữa."
"You have no additional address entries in your address book.","Bạn không có địa chỉ phụ naod trong danh bạ địa chỉ."
"You have no additional entries in your address book.","Bạn không có địa chỉ phụ nào trong danh bạ địa chỉ."
"You have no default billing address in your address book.","Bạn không có địa chỉ thanh toán mặc định nào trong danh bạ địa chỉ."
"You have no default entries in your address book.","Bạn không có địa chỉ phụ mặc định nào trong danh bạ địa chỉ."
"You have no default shipping address in your address book.","Bạn không có địa chỉ vận chuyển mặc định nào trong danh bạ địa chỉ."
"You have not set a default billing address.","Bạn chưa thiết lập địa chỉ thanh toán mặc định."
"You have not set a default shipping address.","Bạn chưa thiết lập địa chỉ vận chuyển mặc định."
"You have placed no orders yet.","Bạn chưa có đơn hàng nào."
"You have placed no products yet.","Bạn chưa chọn sản phẩm nào."
"You will be charged tax.","Bạn sẽ bị tính thuế."
"You will not be charged tax.","Bạn sẽ không bị tính thuế."
"Your Tax ID cannot be validated.","Không thể xác nhận ID thuế của bạn."
"Your VAT ID was successfully validated.","ID VAT của bạn đã được xác nhận thành công."
"Your account balance is: %s","Số dư tài khoản của bạn là: %s"
"ZIP","Mã bưu chính"
"ZIP/Post Code","Mã bưu chính/bưu điện"
"Zip/Postal Code","Mã bưu chính/bưu điện"
"n/a","n/a"
"or","hoặc"
