"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' quá dài. Nó phải có độ dài %min% ký tự ."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' quá ngắn. Nó phải có độ dài %min% ký tự."
"* Required Fields","* Trường bắt buộc"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> yêu cầu truy cập tài khoản của bạn"
"Admin","Quản trị viên"
"After authorization application will have access to you account.","Sau khi đơn ủy quyền sẽ truy cập tài khoản của bạn."
"An error occurred on confirm authorize.","Có lỗi xảy ra khi xác nhận ủy quyền."
"An error occurred on delete action.","Có lỗi xảy ra khi xóa hoạt động."
"An error occurred on delete application.","Có lỗi xảy ra khi xóa đơn."
"An error occurred on reject authorize.","Có lỗi xảy ra khi từ chối ủy quyền."
"An error occurred on saving consumer data.","Có lỗi xảy ra khi lưu dữ liệu khách hàng."
"An error occurred on update revoke status.","Có lỗi xảy ra khi cập nhật trạng thái thu hồi."
"An error occurred while deleting the consumer.","Có lỗi xảy ra khi xóa khách hàng."
"An error occurred.","Đã có lỗi xảy ra."
"An error occurred. Your authorization request is invalid.","Đã có lỗi xảy ra. Yêu cầu ủy quyền của bạn không đúng."
"App Name","Tên đơn"
"Application ""%s"" has been deleted.","Đơn ""%s"" đã bị xóa."
"Application ""%s"" has been enabled.","Đơn ""%s"" đã được kích hoạt."
"Application ""%s"" has been revoked.","Đơn ""%s"" đã được thu hồi."
"Application Name","Tên đơn"
"Application not found.","Không tìm thấy đơn."
"Are you sure you want to delete this application?","Bạn có chắc là muốn xóa đơn này?"
"Are you sure you want to disable this application?","Bạn có chắc là muốn vô hiệu hóa đơn này?"
"Are you sure you want to enable this application?","Bạn có chắc là muốn kích hoạt đơn này?"
"Authorization confirmed","Ủy quyền đã được xác nhận"
"Authorization confirmed.","Ủy quyền đã được xác nhận."
"Authorize","Ủy quyền"
"Authorize application","Đơn ủy quyền"
"Authorized Tokens","Tokens đã ủy quyền"
"Callback URL","URL gọi lại"
"Cleanup Probability","Khả năng xóa"
"Cleanup Settings","Thiết lập xóa"
"Close","Đóng"
"Confirm OAuth token authorization","Xác nhận ủy quyền OAuth token"
"Confirm token authorization Pop Up for admin","Xác nhận ủy quyền token Pop Up cho quản trị viên"
"Confirm token authorization for admin","Xác nhận ủy quyền token cho quản trị viên"
"Confirmation Of Authorization","Xác nhận ủy quyền"
"Consumer Information","Thông tin khách hàng"
"Consumer Name","Tên khách hàng"
"Consumers","Khách hàng"
"Created At","Đã tạo vào"
"Current Admin Password","Mật khẩu quản trị viên hiện tại"
"Customer","Khách hàng"
"Customer My Account My OAuth Applications","Khách hàng Tài khoản của tôi Đơn OAuth của tôi"
"Delete","Xóa"
"Disable","Vô hiệu"
"Disabled","Đã vô hiệu"
"Edit","Sửa"
"Edit Consumer","Sửa khách hàng"
"Email","Email"
"Email Address","Địa chỉ email"
"Enable","Kích hoạt"
"Enabled","Đã kích hoạt"
"Entry with ID #%s not found.","Bài đăng có ID #%s không tìm thấy."
"Expiration Period","Thời gian hết hạn"
"Give the verifier code to application administrator","Gửi mã xác nhận đến quản trị viên"
"ID","ID"
"Invalid Callback URL","URL gọi lại không đúng"
"Invalid ID parameter.","ID tham số không đúng."
"Invalid Rejected Callback URL","URL gọi lại bị từ chối không đúng"
"Invalid entry ID.","ID bài đăng không đúng."
"Invalid revoke status.","Trạng thái thu hồi không đúng."
"Key","Chìa khóa"
"Log In","Đăng nhập"
"Log in as a customer","Đăng nhập dưới vai trò khách hàng"
"Log in as admin","Đăng nhập dưới vai trò quản trị viên"
"Log in as customer","Đăng nhập dưới vai trò khách hàng"
"Log in to use <strong>%s</strong>","Đăng nhập để sử dụng <strong>%s</strong>"
"Login","Đăng nhập"
"My Applications","Đơn của tôi"
"Name","Tên"
"New Consumer","Khách hàng mới"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Quản trị viên Đơn của tôi"
"OAuth Authorized Tokens","Tokens đã ủy quyền OAuth"
"OAuth Consumers","Khách hàng OAuth"
"OAuth authorization Pop Up for customer","Ủy quyền OAuth Pop Up cho khách hàng"
"OAuth authorization for admin","Ủy quyền OAuth cho quản trị viên"
"OAuth authorization for customer","Ủy quyền OAuth cho khách hàng"
"OAuth authorization simple for admin","Ủy quyền OAuth đơn giản cho khách hàng"
"Password","Mật khẩu"
"Permissions","Cho phép"
"Please login to proceed authorization.","Vui lòng đăng nhaapjj để tiến hành ủy quyền."
"Please select needed row(s).","Vui lòng lựa chọn (các) dòng cần thiết."
"Please select revoke status.","Vui lòng lựa chọn trạng thái thu hồi."
"REST - My Apps","REST - Đơn của tôi"
"REST - OAuth Authorized Tokens","REST - Tokens đã xác thực OAuth"
"REST - OAuth Consumers","REST - Khách hàng OAuth"
"Reject","Từ chối"
"Reject OAuth token authorization","Từ chối ủy quyền token OAuth"
"Reject authorization","Từ chối ủy quyền"
"Reject token authorization Pop Up for admin","Từ chối ủy quyền token Pop Up cho quản trị viên"
"Reject token authorization for admin","Từ chối ủy quyền token cho quản trị viên"
"Rejected Callback URL","URL gọi lại đã bị từ chối"
"Rejection Of Authorization","Từ chối ủy quyền"
"Revoked","Đã thu hồi"
"Role Name","Role Name"
"Save","Lưu"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Secret","Bảo mật"
"Selected entries enabled.","Kích hoạt các bài đăng đã chọn."
"Selected entries has been deleted.","Đã xóa các bài đăng đã chọn."
"Selected entries revoked.","Đã thu hồi các bài đăng đã chọn."
"Status","Tình trạng"
"System","Hệ thống"
"The application access request is rejected.","Yêu cầu truy cập đơn bị từ chối."
"The consumer has been deleted.","Khách hàng đã bị xóa."
"The consumer has been saved.","Khách hàng đã được lưu."
"Token Status Change","Thay đổi tình trạng Token"
"Token Status Change Email Template","Mẫu email thay đổi tình trạng token"
"Unable to find a consumer.","Không thể tìm thấy khách hàng."
"User ID","ID người dùng"
"User Name","Tên người dùng"
"User Type","Loại người dùng"
"Verifier code: %s","Mã xác nhận: %s"
"You have no applications.","Bạn không có đơn nào."
"deleted","đã xóa"
"enabled","đã kích hoạt"
"revoked","đã thu hồi"
